 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
80,HG13E,431.034,150.069,94.884,13.749,254.358,2029.099,1058.549,0,0,336.782,1872.23,997.332,315.014,123.71,0,0,21.318,0.048,336.782,64684.984,179.151,0,0,0,39768.328,1,1468,878,21.318,0,0,0,NaN,336.782
81,HG13E,206.571,234.841,27.575,136.673,254.864,2208.925,1145.274,0,0,161.322,2132.403,1119.767,154.319,52.29,0,0,18.435,0.1,161.322,48511.473,248.951,0,0,0,29824.854,1,1672,918,18.435,0,0,0,NaN,161.322
82,HG13E,1.627,229.667,0,229.667,229.667,2038.027,1323.825,0,0,0,2038.027,1323.825,1.275,1.275,0,0,0,0,0,373.563,229.667,0,0,0,229.667,1,1598,1038,0,0,0,0,NaN,0
83,HG13E,243.982,178.668,58.807,44.332,254.64,2361.968,945.042,0,0,189.939,2270.142,920.811,184.927,49.739,0,0,14.783,0.085,189.939,43591.669,189.182,0,0,0,26800.158,1,1780,760,14.783,0,0,0,NaN,189.939
84,HG13E,408.263,116.661,71.257,23.276,254.318,2549.446,1268.984,0,0,318.605,2509.91,1114.665,80.348,309.913,0,0,75.63,0.051,318.605,47628.283,99.384,0,0,0,29281.868,1,1968,1116,75.63,0,0,0,NaN,318.605
85,HG13E,230.969,73.974,50.229,13.45,201.201,2521.388,1673.273,0,0,180.093,2497.156,1586.549,49.739,174.724,0,0,-74.389,0.089,180.093,17085.66,65.524,0,0,0,10504.264,1,1958,1244,105.611,7.11E-15,0,0,NaN,180.093
86,HG13E,214.704,92.246,54.54,11.631,243.667,2432.113,1874.78,0,0,166.97,2405.331,1795.708,54.841,159.42,0,0,-108.712,0.097,166.97,19805.527,70.755,0,0,0,12176.438,1,1886,1532,71.288,0,0,0,NaN,166.97
87,HG13E,117.111,222.517,44.754,69,254.394,1850.549,1887.534,0,0,90.578,1826.317,1849.273,49.739,77.797,0,0,-57.653,0.179,90.578,26059.238,240.063,0,0,0,16021.22,1,1432,1450,122.347,0,0,0,NaN,90.578
88,HG13E,328.562,159.315,75.003,36.298,254.084,1121.042,1893.911,0,0,256.217,994.781,1872.23,253.797,44.638,0,0,9.744,0.063,256.217,52344.806,157.623,0,0,0,32181.587,1,780,1502,9.744,7.11E-15,0,0,NaN,256.217
89,HG13E,479.831,35.092,40.599,6.131,196.333,1554.665,1799.534,0,0,374.687,1379.94,1731.94,350.724,136.464,0,0,21.15,0.043,374.687,16838.423,17.211,0,0,0,10352.262,1,1082,1464,21.15,1.42E-14,0,0,NaN,374.687
90,HG13E,1.627,194,0,194,194,655.535,1948.751,0,0,0,655.535,1948.751,1.275,1.275,0,0,0,0,0,315.55,194,0,0,0,194,1,514,1528,0,0,0,0,NaN,0
91,HG13E,170.787,167.451,90.308,27.924,255,720.579,1935.998,0,0,132.564,655.535,1923.244,131.362,26.783,0,0,11.094,0.122,132.564,28598.511,204.8,0,0,0,17582.365,1,514,1528,11.094,0,0,0,NaN,132.564
