 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
40,HG13B,164.258,24.153,6.991,11.788,38.322,2556.852,808.709,0,0,127.082,2509.432,766.415,96.122,85.869,0,0,-41.73,0.128,127.082,3967.344,22.928,0,0,0,2415.319,1,1958,598,138.27,0,0,0,NaN,127.082
41,HG13B,192.181,34.016,9.827,13.288,56.091,2446.632,1195.761,0,0,148.625,2406.901,1132.961,80.743,126.881,0,0,57.68,0.109,148.625,6537.226,32.297,0,0,0,3979.863,1,1878,982,57.68,2.84E-14,0,0,NaN,148.625
42,HG13B,114.98,43.663,15.602,22.414,72.957,2273.612,594.676,0,0,88.2,2247.979,558.791,52.547,73.053,0,0,-54.462,0.186,88.2,5020.332,39.46,0,0,0,3056.378,1,1754,436,125.538,7.11E-15,0,0,NaN,88.2
43,HG13B,139.619,74.754,30.329,31.515,143.728,2570.95,66.645,0,0,108.144,2524.811,38.449,93.559,57.673,0,0,-31.43,0.15,108.144,10437.048,72.961,0,0,0,6354.075,1,1970,30,148.57,7.11E-15,0,0,NaN,108.144
44,HG13B,144.547,83.208,41.67,32.333,212,2559.415,155.077,0,0,110.963,2504.305,148.669,111.502,14.098,0,0,-6.633,0.148,110.963,12027.423,68.639,0,0,0,7322.295,1,1954,116,173.367,0,0,0,NaN,110.963
45,HG13B,152.76,44.428,21.431,11,102.498,2533.783,370.391,0,0,117.407,2486.362,335.787,96.122,70.49,0,0,36.119,0.139,117.407,6786.831,40.539,0,0,0,4131.822,1,1940,316,36.119,0,0,0,NaN,117.407
46,HG13B,169.185,57.162,25.141,19.667,124.842,2529.938,799.737,0,0,130.5,2483.799,753.598,93.559,93.559,0,0,-45,0.125,130.5,9670.89,56.601,0,0,0,5887.638,1,1938,588,135,0,0,0,NaN,130.5
47,HG13B,113.338,46.117,10.697,28.29,75.024,822.806,65.363,0,0,87.489,799.737,28.196,47.42,75.616,0,0,-58.173,0.186,87.489,5226.765,43.378,0,0,0,3182.055,1,624,22,121.827,0,0,0,NaN,87.489
48,HG13B,190.539,44.274,15.863,22.052,81.268,1100.92,1271.377,0,0,147.36,1084.259,1199.606,34.604,144.824,0,0,-103.069,0.11,147.36,8435.902,39.617,0,0,0,5135.777,1,846,1048,76.931,0,0,0,NaN,147.36
49,HG13B,279.238,26.27,8.641,15.784,64.316,1018.896,1273.94,0,0,216.425,984.292,1171.41,70.49,206.342,0,0,71.35,0.075,216.425,7335.568,23.834,0,0,0,4465.894,1,768,1074,71.35,0,0,0,NaN,216.425
50,HG13B,643.89,49.541,20.22,18.431,138.874,634.407,1440.552,0,0,501.594,420.375,1309.826,429.346,262.734,0,0,-31.416,0.032,501.594,31898.685,45.724,0,0,0,19419.919,1,328,1022,148.584,2.84E-14,0,0,NaN,501.594
51,HG13B,179.041,38.394,14.334,19.482,81.856,444.726,539.566,0,0,138.748,430.628,471.64,29.477,137.134,0,0,-78.275,0.117,138.748,6874.071,35.58,0,0,0,4184.935,1,336,368,101.725,0,0,0,NaN,138.748
52,HG13B,402.431,41.291,15.23,17.833,102.011,1267.532,1776.339,0,0,313.358,1204.732,1632.797,126.881,288.367,0,0,-66.371,0.052,313.358,16616.754,38.194,0,0,0,10116.28,1,940,1274,113.629,0,0,0,NaN,313.358
53,HG13B,326.873,27.659,10.228,7.333,47.811,2208.249,1281.63,0,0,253.348,2150.575,1168.847,116.628,226.849,0,0,-62.916,0.064,253.348,9040.913,25.67,0,0,0,5504.108,1,1678,912,117.084,0,0,0,NaN,253.348
54,HG13B,220.105,96.12,43.188,44.832,215.37,1959.612,1295.728,0,0,170.991,1894.249,1240.618,132.008,111.502,0,0,-40.135,0.095,170.991,21156.4,84.645,0,0,0,12880.016,1,1478,968,139.865,1.42E-14,0,0,NaN,170.991
55,HG13B,113.338,143.538,50.114,38.333,250.28,1102.202,900.986,0,0,87.489,1079.132,863.819,47.42,75.616,0,0,-58.173,0.186,87.489,16268.303,135.174,0,0,0,9904.143,1,842,674,121.827,0,0,0,NaN,87.489
56,HG13B,152.76,91.462,24.437,50.913,138.659,1395.695,1432.862,0,0,118.272,1366.218,1381.597,60.237,103.812,0,0,-60.101,0.137,118.272,13971.76,88.732,0,0,0,8506.007,1,1066,1078,119.899,0,0,0,NaN,118.272
57,HG13B,200.394,31.224,13.343,16.011,62.36,1012.488,811.272,0,0,155.432,994.545,735.656,37.167,152.514,0,0,-76.651,0.104,155.432,6257.16,27.573,0,0,0,3809.359,1,776,574,103.349,7.11E-15,0,0,NaN,155.432
58,HG13B,152.76,115.2,57.38,37.928,239.348,1103.483,909.957,0,0,118.272,1074.006,858.692,60.237,103.812,0,0,-60.101,0.137,118.272,17597.912,117.014,0,0,0,10713.609,1,838,670,119.899,0,0,0,NaN,118.272
59,HG13B,394.218,33.234,14.973,17.297,76.023,358.856,1801.972,0,0,305.878,322.971,1653.303,73.053,298.62,0,0,-76.43,0.053,305.878,13101.438,26.478,0,0,0,7976.155,1,252,1290,103.57,0,0,0,NaN,305.878
60,HG13B,124.836,82.933,37.994,35.52,208.554,606.211,1827.604,0,0,96.353,563.917,1804.535,85.869,47.42,0,0,-28.61,0.169,96.353,10352.987,69.4,0,0,0,6302.899,1,440,1408,151.39,7.11E-15,0,0,NaN,96.353
61,HG13B,87.057,67.993,27.149,35.663,132.486,2335.13,1864.772,0,0,66.497,2319.75,1835.294,32.041,60.237,0,0,-62.447,0.247,66.497,5919.193,60.796,0,0,0,3603.605,1,1810,1432,117.553,0,0,0,NaN,66.497
62,HG13B,658.673,82.135,23.827,40.79,156.301,986.855,1405.948,0,0,512.812,827.933,1204.732,319.126,403.713,0,0,51.698,0.031,512.812,54100.088,76.613,0,0,0,32936.134,1,646,1254,51.698,0,0,0,NaN,512.812
63,HG13B,274.31,66.357,13.905,43.133,103.789,1088.104,794.611,0,0,213.306,1030.431,704.897,116.628,180.71,0,0,57.265,0.076,213.306,18202.508,64.6,0,0,0,11081.687,1,804,690,57.265,0,0,0,NaN,213.306
64,HG13B,128.121,129.964,45.708,45.667,191.17,1225.238,465.232,0,0,98.11,1184.226,438.317,83.306,55.11,0,0,33.275,0.167,98.11,16651.074,146.556,0,0,0,10137.174,1,924,384,33.275,7.11E-15,0,0,NaN,98.11
65,HG13B,80.486,60.358,8.816,48.667,82.375,1293.165,471.64,0,0,61.997,1266.25,456.26,55.11,32.041,0,0,29.745,0.263,61.997,4857.951,57.833,0,0,0,2957.521,1,988,380,29.745,3.55E-15,0,0,NaN,61.997
66,HG13B,96.912,52.709,8.357,41.967,72.633,1226.52,223.004,0,0,74.335,1199.606,197.371,55.11,52.547,0,0,43.603,0.22,74.335,5108.091,50.614,0,0,0,3109.806,1,936,194,43.603,0,0,0,NaN,74.335
67,HG13B,266.097,56,11.414,39.449,84.725,1877.588,90.996,0,0,206.115,1781.466,53.828,193.526,75.616,0,0,21.14,0.079,206.115,14901.315,53.84,0,0,0,9071.92,1,1390,100,21.14,0,0,0,NaN,206.115
68,HG13B,284.166,180.723,54.696,82.901,254.667,2035.229,338.35,0,0,220.5,1971.147,248.636,129.445,180.71,0,0,54.462,0.073,220.5,51355.174,188.922,0,0,0,31265.03,1,1538,334,54.462,0,0,0,NaN,220.5
69,HG13B,151.117,109.891,27.369,66.333,185.343,2012.159,635.688,0,0,116.903,1976.274,589.55,73.053,93.559,0,0,-52.125,0.139,116.903,16606.362,103.876,0,0,0,10109.953,1,1542,460,127.875,0,0,0,NaN,116.903
70,HG13B,269.382,78.308,19.705,44,127.092,2390.24,390.897,0,0,208.65,2306.934,328.097,167.894,126.881,0,0,37.011,0.078,208.65,21094.819,76.182,0,0,0,12842.526,1,1800,354,37.011,1.42E-14,0,0,NaN,208.65
71,HG13B,126.478,147.606,28.929,94.965,205.421,2453.04,704.897,0,0,97.942,2447.913,656.195,11.535,98.686,0,0,-83.991,0.166,97.942,18668.937,151.316,0,0,0,11365.649,1,1910,512,96.009,0,0,0,NaN,97.942
72,HG13B,282.523,139.989,36.316,76.054,215.479,2185.179,797.174,0,0,219.679,2094.183,735.656,183.273,124.318,0,0,34.061,0.074,219.679,39550.081,144.893,0,0,0,24078.09,1,1634,670,34.061,0,0,0,NaN,219.679
73,HG13B,234.888,133,48.693,58.684,221.485,1775.058,1290.601,0,0,182.154,1704.568,1232.928,142.261,116.628,0,0,39.289,0.089,182.154,31240.18,128.488,0,0,0,19019.021,1,1330,1052,39.289,0,0,0,NaN,182.154
74,HG13B,200.394,36.698,8.112,18.346,53.667,1511.042,1198.324,0,0,155.706,1484.128,1125.271,55.11,147.387,0,0,69.775,0.104,155.706,7354.165,37.896,0,0,0,4477.216,1,1158,992,69.775,0,0,0,NaN,155.706
75,HG13B,139.619,47.027,10.913,29.984,68.657,1798.127,1161.157,0,0,107.809,1750.707,1135.524,96.122,52.547,0,0,28.393,0.151,107.809,6565.819,46.007,0,0,0,3997.271,1,1366,926,28.393,0,0,0,NaN,107.809
76,HG13B,50.92,88.475,28.721,63.76,153.111,1876.306,1253.434,0,0,39.042,1868.617,1235.491,16.661,37.167,0,0,66.801,0.42,39.042,4505.125,79.88,0,0,0,2742.72,1,1458,992,66.801,0,0,0,NaN,39.042
77,HG13B,85.414,83.38,11.165,66.314,107.373,1983.963,1336.74,0,0,65.702,1953.204,1325.205,62.8,24.351,0,0,20.556,0.249,65.702,7121.823,80.915,0,0,0,4335.766,1,1524,1052,20.556,3.55E-15,0,0,NaN,65.702
78,HG13B,13.141,140.713,10.021,124.388,153.667,2105.718,1396.977,0,0,9.242,2101.873,1394.413,8.971,6.408,0,0,33.69,1,9.242,1849.048,141.34,0,0,0,1125.701,1,1640,1092,33.69,8.88E-16,0,0,NaN,9.242
79,HG13B,27.924,160.6,25.087,112.333,208.667,2235.163,1628.952,0,0,20.666,2230.036,1619.98,11.535,19.224,0,0,60.255,0.822,20.666,4484.574,163.771,0,0,0,2730.208,1,1740,1278,60.255,0,0,0,NaN,20.666
